#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
69,Ecuador,"1,024,914",,"35,940                                ",,"975,192",,"13,782",759,"56,583","1,984","3,082,403","170,173","18,113,361 ",South America,,185046,,,761
70,Panama,"1,015,970",,"8,543                                ",,"998,085",,"9,342",16,"228,464","1,921","7,328,159","1,647,902","4,446,964 ",North America,,45211,,,"2,101"
71,Mongolia,"1,006,929",,"2,179                                ",,"991,102",+244,"13,648",192,"298,077",645,"4,030,048","1,193,000","3,378,078 ",Asia,,"31,5501",,,"4,040"
72,Nepal,"1,000,945",,"12,019                                ",,"988,911",,15,,"33,116",398,"5,984,274","197,987","30,225,582 ",Asia,,"302,5155",,,0.5
73,Uruguay,"998,047",,"7,548                                ",,"988,310",,"2,189",18,"285,481","2,159","6,114,822","1,749,083","3,496,016 ",South America,,44631,,,626
74,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,,"91,3251",,,141
75,Latvia,"969,930",,"6,117                                ",,"950,319",,"13,494",3,"524,616","3,309","7,753,514","4,193,725","1,848,837 ",Europe,,23020,,,"7,299"
76,Saudi Arabia,"826,410",,"9,491                                ",,"813,896",,"3,023",39,"23,055",265,"44,879,759","1,252,054","35,844,909 ",Asia,,"433,7771",,,84
77,Azerbaijan,"825,150",,"9,989                                ",,"814,695",,466,,"80,110",970,"7,401,826","718,610","10,300,205 ",Asia,,"121,0311",,,45
78,Paraguay,"778,895",,"19,646                                ",,N/A,N/A,N/A,7,"106,613","2,689","2,657,506","363,751","7,305,843 ",South America,,93723,,,"8,340"
79,Bahrain,"697,697",,"1,538                                ",,"695,541",,618,3,"391,089",862,"10,607,660","5,946,054","1,783,983 ",Asia,,"31,1600",,,346
80,Sri Lanka,"671,793",,"16,812                                ",,"654,919",,62,,"31,136",779,"6,486,117","300,619","21,575,842 ",Asia,,"321,2833",,,3
81,Kuwait,"662,747",,"2,570                                ",,"660,095",,82,,"151,301",587,"8,447,300","1,928,464","4,380,326 ",Asia,,"71,7041",,,19
82,Dominican Republic,"650,990",,"4,384                                ",,"644,785",,"1,821",4,"58,879",397,"3,740,928","338,350","11,056,370 ",North America,,"172,5223",,,165
